overlay_level,snapshot,run_type,dataset_dir,result_dir,requests,users,workflows,projects,orgs,feature_ablation,hybrid_session_f1,hybrid_user_f1,hybrid_project_f1,hybrid_org_f1,rare_user_f1,temporal_user_f1,tool_user_f1,provider_lowcost_session_f1,provider_lowcost_user_f1,provider_lowcost_project_f1,provider_lowcost_org_f1
U3,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u3_first_1000_m0_ablation,1000,61,85,59,35,none,0.825,0.363,1.0,1.0,0.363,0.178,0.101,,,,
U3,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u3_first_1000_m0_ablation,1000,61,85,59,35,no_paths,0.51,0.0,0.0,0.0,0.0,0.178,0.101,,,,
U3,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u3_first_1000_m0_ablation,1000,61,85,59,35,no_usernames,0.825,0.0,1.0,1.0,0.0,0.178,0.101,,,,
U3,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u3_first_1000_m0_ablation,1000,61,85,59,35,no_tool_schema,0.825,0.363,1.0,1.0,0.363,0.178,0.043,,,,
U3,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u3_first_1000_m0_ablation,1000,61,85,59,35,no_time_length,0.423,0.363,1.0,1.0,0.363,0.043,0.101,,,,
U3,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u3_first_1000_m0_ablation,1000,61,85,59,35,no_cache,0.825,0.363,1.0,1.0,0.363,0.178,0.101,,,,
U3,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u3_first_1000_m0_ablation,1000,61,85,59,35,no_shingles,0.0,0.363,1.0,1.0,0.363,0.178,0.101,,,,
U4,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u4_first_1000_m0_ablation,1000,71,88,54,29,none,0.88,0.067,1.0,1.0,0.067,0.116,0.049,,,,
U4,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u4_first_1000_m0_ablation,1000,71,88,54,29,no_paths,0.498,0.0,0.0,0.0,0.0,0.116,0.049,,,,
U4,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u4_first_1000_m0_ablation,1000,71,88,54,29,no_usernames,0.89,0.0,1.0,1.0,0.0,0.116,0.049,,,,
U4,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u4_first_1000_m0_ablation,1000,71,88,54,29,no_tool_schema,0.88,0.067,1.0,1.0,0.067,0.116,0.031,,,,
U4,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u4_first_1000_m0_ablation,1000,71,88,54,29,no_time_length,0.59,0.067,1.0,1.0,0.067,0.031,0.049,,,,
U4,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u4_first_1000_m0_ablation,1000,71,88,54,29,no_cache,0.88,0.067,1.0,1.0,0.067,0.116,0.049,,,,
U4,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u4_first_1000_m0_ablation,1000,71,88,54,29,no_shingles,0.0,0.067,1.0,1.0,0.067,0.116,0.049,,,,
